# stage 09   label CDM   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.13750872 conv 0.02203907 dm 0.84045221
# matter shot noise 3.05072516e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
6.470613485461905512e+00 2.318500000000000000e+04 2.261644374114658851e-01 3.546174527572519253e+01 1.287528978346507813e+00 1.296374261405437212e+00 1.347830441564525028e+00 2.113258337014929378e+00
6.577676610618644837e+00 2.366700000000000000e+04 2.200023097150949902e-01 3.487191206728684278e+01 1.257795953579717185e+00 1.267249958015409961e+00 1.322156049830413682e+00 2.071922341534406353e+00
6.684253655545307815e+00 2.438500000000000000e+04 2.095652828089741293e-01 3.391415006913470620e+01 1.208221709652498310e+00 1.217971589877165917e+00 1.274666765723247996e+00 1.981789191781020198e+00
6.791722808518531274e+00 2.574900000000000000e+04 2.032004617011080316e-01 3.351508977801112366e+01 1.181450803167422681e+00 1.191851731841848450e+00 1.252179852429166296e+00 1.939184338505693495e+00
6.898654695560852979e+00 2.567500000000000000e+04 1.976365889723729896e-01 3.317214531181859627e+01 1.156688132675284031e+00 1.167570690372397690e+00 1.230711428722196743e+00 1.893861268082609683e+00
7.005645299680876015e+00 2.740900000000000000e+04 1.911090781231193358e-01 3.309065112636992012e+01 1.136432807372082188e+00 1.148128757313841675e+00 1.215818819763503589e+00 1.858209680055617374e+00
7.112728794843756752e+00 2.740500000000000000e+04 1.827168949455384717e-01 3.222019781788363701e+01 1.091992629444858309e+00 1.103987641728739755e+00 1.173539540689852778e+00 1.776581623639277741e+00
7.219282100968514193e+00 2.871700000000000000e+04 1.764449910138038424e-01 3.162152768536818215e+01 1.061919125174036527e+00 1.074174088717141817e+00 1.145256608806028087e+00 1.725340921808254935e+00
7.326582234147168471e+00 2.959500000000000000e+04 1.737230434898180131e-01 3.153961400580547192e+01 1.048856106959896950e+00 1.061826088051910810e+00 1.136990605642614005e+00 1.705681267524701061e+00
7.433725445245632280e+00 3.030100000000000000e+04 1.669810966149060938e-01 3.101098457336911096e+01 1.018611767196148987e+00 1.032070262242562597e+00 1.110133537959210104e+00 1.656282431634324315e+00
7.540365998292284822e+00 3.110100000000000000e+04 1.616028838283397329e-01 3.053101472297135288e+01 9.922286434143487988e-01 1.005956269348658561e+00 1.085634708442176022e+00 1.608633892057358850e+00
7.647007593854525886e+00 3.202300000000000000e+04 1.582334198494881605e-01 3.083030402534454240e+01 9.873514856182596944e-01 1.001995656243394484e+00 1.086950463587832427e+00 1.600687231695720358e+00
7.753890080254511652e+00 3.297700000000000000e+04 1.524618302839728934e-01 3.021418172722401252e+01 9.549156878341570343e-01 9.699257283894648918e-01 1.057184519530454336e+00 1.543055928353241457e+00
7.861522681891408126e+00 3.444900000000000000e+04 1.488828058590335734e-01 2.983230151351432724e+01 9.375674213065723350e-01 9.526558118545463971e-01 1.040411312294162949e+00 1.514379965512098636e+00
7.968796818197422915e+00 3.454900000000000000e+04 1.448278893156683955e-01 2.955348822742223192e+01 9.186498528259466889e-01 9.343700934258070134e-01 1.025873644710525001e+00 1.488317965687455224e+00
8.075783621906728271e+00 3.611100000000000000e+04 1.395241531135744395e-01 2.943238561630679229e+01 8.989036467104288830e-01 9.152125588263990696e-01 1.010206637851063682e+00 1.448770372926055039e+00
8.182821318976927216e+00 3.654100000000000000e+04 1.360975489940053906e-01 2.917684296247131215e+01 8.831177469118786094e-01 8.997442026789741476e-01 9.966171559260366131e-01 1.422865598903026330e+00
8.289505283403951097e+00 3.771700000000000000e+04 1.319810779415567792e-01 2.890116043388688993e+01 8.645701065963823373e-01 8.814083491787796376e-01 9.796892675157788943e-01 1.386706296860028553e+00
8.396214308014592120e+00 3.861900000000000000e+04 1.288016648769311490e-01 2.862742931836951144e+01 8.473165638044887205e-01 8.647430296871617683e-01 9.665090474036970303e-01 1.363206732712202163e+00
8.503147732907603285e+00 3.966100000000000000e+04 1.251888890701383095e-01 2.827411610683537191e+01 8.285045590111146385e-01 8.461954987608114598e-01 9.496532118254360499e-01 1.331999764944638232e+00
8.609813280741079211e+00 4.054500000000000000e+04 1.212311220169547538e-01 2.789096545450027875e+01 8.081496347488669185e-01 8.260668404618525251e-01 9.310131135068253627e-01 1.296766598198708875e+00
8.716670599437357225e+00 4.181500000000000000e+04 1.176182547928576738e-01 2.779965504734684245e+01 7.950388849456061502e-01 8.133642166704936338e-01 9.208220671763864829e-01 1.272554540910918908e+00
8.824272177189678601e+00 4.312500000000000000e+04 1.158023845846647137e-01 2.751173615151899909e+01 7.828838450279391736e-01 8.014179066680697794e-01 9.102700534836495327e-01 1.256976099440973771e+00
8.931467604431746921e+00 4.368100000000000000e+04 1.119285852661700970e-01 2.734394880671186456e+01 7.653314432846793913e-01 7.844731096826105254e-01 8.969250443646166193e-01 1.226460698323194487e+00
9.038159313328566924e+00 4.462900000000000000e+04 1.084165080552685900e-01 2.712433511733044256e+01 7.502097211023918133e-01 7.694872747482827124e-01 8.829684179859175197e-01 1.196401378840928453e+00
