# stage 09   label FCT   z 3.000000   box 58.737151
# grid 512  MAS CIC
# mass fractions gas 0.08192983 conv 0.07761797 dm 0.84045221
# matter shot noise 3.08092773e-04
# k  Nmodes  P_gas  P_conv  P_dm  P_matter  P_baryon  P_gc
7.753890080254511652e+00 3.297700000000000000e+04 1.741848723300317703e-01 3.335760069777483849e+00 1.184725807349193083e+00 1.181784483191188118e+00 1.168890241196514079e+00 6.674567036401746201e-01
7.861522681891408126e+00 3.444900000000000000e+04 1.699785657789077142e-01 3.314805946248969182e+00 1.172350862327040000e+00 1.169690477926528027e+00 1.158303449926989970e+00 6.584133104962167637e-01
7.968796818197422915e+00 3.454900000000000000e+04 1.662002858398788085e-01 3.266708818571314676e+00 1.150530391510696582e+00 1.148312439744643809e+00 1.139285680275995860e+00 6.451269711423227582e-01
8.075783621906728271e+00 3.611100000000000000e+04 1.603069169241271019e-01 3.230781215291414377e+00 1.128160796759122064e+00 1.126495468568660119e+00 1.120431159883440886e+00 6.275191450140089611e-01
8.182821318976927216e+00 3.654100000000000000e+04 1.575902780218523813e-01 3.212673957739982544e+00 1.116670175287796329e+00 1.115430249009988550e+00 1.111663521258613452e+00 6.199819757643244555e-01
8.289505283403951097e+00 3.771700000000000000e+04 1.526681826011670740e-01 3.164642032216619327e+00 1.094649645341260413e+00 1.093689376466540075e+00 1.091436361095058816e+00 6.048478876535129389e-01
8.396214308014592120e+00 3.861900000000000000e+04 1.483707292372212494e-01 3.127080005589003786e+00 1.075036836427193832e+00 1.074474635797543431e+00 1.074378290969424832e+00 5.907674943661606060e-01
8.503147732907603285e+00 3.966100000000000000e+04 1.440402182855481661e-01 3.072331275840064713e+00 1.050733598308151606e+00 1.050612946682503823e+00 1.052878639433554309e+00 5.759560049505317858e-01
8.609813280741079211e+00 4.054500000000000000e+04 1.394708572714624673e-01 3.041580759010738877e+00 1.033233050469428482e+00 1.033473022080411141e+00 1.037683025919803770e+00 5.625202405628971780e-01
8.716670599437357225e+00 4.181500000000000000e+04 1.364665802887098656e-01 3.018962160951038420e+00 1.020056807555493661e+00 1.020711495062405216e+00 1.027150379125251423e+00 5.537392438909901626e-01
8.824272177189678601e+00 4.312500000000000000e+04 1.338572280874383846e-01 2.991610166075681754e+00 1.007499337397467221e+00 1.008365232095505881e+00 1.015971441762703487e+00 5.456984296128052359e-01
8.931467604431746921e+00 4.368100000000000000e+04 1.294164585579841431e-01 2.944478988180871948e+00 9.863341762281473413e-01 9.874543037905687548e-01 9.964534514966228995e-01 5.313030166111823993e-01
9.038159313328566924e+00 4.462900000000000000e+04 1.250746514866632186e-01 2.904490327468797428e+00 9.665813478000275794e-01 9.679594255676666759e-01 9.783780372064848629e-01 5.163593221864185567e-01
9.145103926913346726e+00 4.622700000000000000e+04 1.223505789686587381e-01 2.870231193208225839e+00 9.500040381195982153e-01 9.518453441765803991e-01 9.647465091586648889e-01 5.067421015766709891e-01
9.252371702874153669e+00 4.690900000000000000e+04 1.193031912265375416e-01 2.840405810128467934e+00 9.353161479084591834e-01 9.374123494008705926e-01 9.516959173705998865e-01 4.963580359800747743e-01
9.359375681178327966e+00 4.823700000000000000e+04 1.153544958714928514e-01 2.777069422506199370e+00 9.109749509982393301e-01 9.132265971983551944e-01 9.283699576340487258e-01 4.817575889895732155e-01
9.465793465750969915e+00 4.858300000000000000e+04 1.132930909745920867e-01 2.774967995426257161e+00 9.049039777496046266e-01 9.075839178289435427e-01 9.250365691794616430e-01 4.771693140308127523e-01
9.572910082305408963e+00 5.099700000000000000e+04 1.110856355226952918e-01 2.775190516789435957e+00 8.997869471708966893e-01 9.027696323418024082e-01 9.218631937194369241e-01 4.718775657282679448e-01
9.680434637454967017e+00 5.139700000000000000e+04 1.082348518212783578e-01 2.720308187400411803e+00 8.776756640933557341e-01 8.809782833760212428e-01 9.017836590284111775e-01 4.591906904958898417e-01
9.787339808765013416e+00 5.248900000000000000e+04 1.055313524060879360e-01 2.706940456768838654e+00 8.679871150491014209e-01 8.716085233096498852e-01 8.942225028861550129e-01 4.518162740612770012e-01
